customer_id,first_name,last_name,email,phone_number,address,date_of_birth,created_at,occupation
1,Mariah,Crawford,danielle.king@example.com,49764271,"30 White Mall
Joshualand, TAS, 2644",1973-03-21,2022-07-04,Fine artist
2,Amy,Flores,benjamin.woods@example.com,(07)25913757,"Flat 30 5 Powers Vista
Madisonborough, NT, 2653",1977-09-05,2024-03-23,Purchasing manager
3,David,Miller,debbie.silva@example.com,+61-3-7394-8632,"Apt. 902 490 William Interchange
Port Jacquelinefurt, WA, 2896",1944-06-26,2022-11-17,Chiropractor
4,Joshua,Wade,james.murray@example.com,+61.2.5720.6788,"755 Sanders Rotary
Julieshire, TAS, 2715",1999-08-24,2021-10-18,Counsellor
5,Nicholas,Strickland,danny.mann@example.com,9694.0544,"39 James Green
Port Nicholaston, SA, 2656",1969-07-30,2020-05-19,Chief Executive Officer
6,Joan,Gillespie,david.west@example.com,(08).1173.9942,"Level 9 6 Anne Centre
Pereztown, TAS, 2943",1973-08-26,2023-04-02,IT technical support officer
7,Dalton,Allen,sarah.gutierrez@example.com,5045-4891,"Suite 320 17 Sarah Court
East Shannon, QLD, 7936",1980-07-08,2022-05-09,Nutritional therapist
8,Todd,Henson,april.johnson@example.com,02-3885-1761,"75 Ayers Centre
Lake Adamtown, TAS, 2619",1982-06-13,2023-10-28,"Pharmacist, hospital"
9,John,Carpenter,samantha.steele@example.com,(02) 8826 7896,"76 Jones Centre
Bowenville, SA, 0216",1944-11-11,2023-01-28,Customer service manager
10,Jennifer,Mclaughlin,joseph.clark@example.com,+61 3 1179 8772,"Apt. 313 747 Lee Deviation
West Bradley, NSW, 2554",2003-08-22,2020-02-01,Quality manager
11,Alfred,Good,amy.wright@example.com,(07).6271.3967,"17 Cabrera Thoroughfare
Lake Jennifer, QLD, 5503",2006-02-12,2024-08-11,"Journalist, magazine"
12,John,Lopez,julie.hernandez@example.com,(07)47987378,"Apt. 915 03 Wright Viaduct
North Donnaberg, NT, 8021",1944-01-17,2024-06-19,Tourist information centre manager
13,Michael,Hoover,chelsea.huffman@example.com,(07)07188756,"Unit 56 732 Shaw Expressway
St. Charlesstad, QLD, 2544",1990-01-22,2023-09-18,"Psychologist, prison and probation services"
14,Lisa,Taylor,amy.robles@example.com,+61 3 8231 6634,"710/549 Rodriguez Chase
Willismouth, NT, 2960",1962-01-14,2020-03-09,Publishing copy
15,Aaron,Short,haley.anderson@example.com,07-1531-1222,"5 Massey Terrace
Morrisstad, VIC, 2914",1963-01-17,2022-11-30,Television camera operator
16,Malik,Sanders,richard.jones@example.com,(08).1363.7097,"57/89 Hernandez Basin
Jillton, SA, 3972",1958-09-18,2020-01-05,Chiropractor
17,Rachael,Davis,timothy.david@example.com,02-3516-0985,"446 Philip Riverway
East Joseph, QLD, 2933",2005-01-25,2020-02-04,Information officer
18,Nathan,Martinez,colleen.perez@example.com,48941747,"Unit 13 858 Parks Road
Marthaside, NSW, 2912",1961-08-05,2020-11-08,Armed forces logistics/support/administrative officer
19,Kimberly,Flores,amy.white@example.com,08 0546 4766,"76 Danielle Follow
Port Samuelstad, SA, 2967",2003-05-28,2021-10-11,IT sales professional
20,Mary,Shaffer,andrew.randolph@example.com,+61-426-723-865,"324/410 Jerome Heights
Jamesberg, NT, 2615",2003-03-24,2021-11-20,Energy engineer
21,Heather,Green,james.vance@example.com,+61 464 802 036,"2 Judith Square
St. Angela, ACT, 2984",1964-02-06,2020-10-14,Public relations officer
22,Jasmine,Sharp,katelyn.willis@example.com,0480-735-561,"Unit 12 645 Paula Villas
St. Tina, NT, 2905",1945-07-20,2021-06-28,"Scientist, water quality"
23,Amanda,Morrison,colton.schneider@example.com,+61.431.744.152,"51 Hall Key
Heatherview, WA, 7915",1976-04-25,2022-05-06,Materials engineer
24,Elijah,Hill,benjamin.bryant@example.com,(08) 5829 1812,"5 Katherine Roadside
Lake Kelly, QLD, 2675",1955-04-19,2022-09-07,"Research officer, government"
